Base_LAD
11 de agosto de 2022 - 12 de novembro de 2025
Campanha,Tipo de campanha,Dia,Código da moeda,Custo,Conversões,Todas as conv.
red balloon | 2023 | youtube | rj | mkt4,Vídeo,2022-12-07,BRL,"49,93","0,00","0,00"
red balloon | 2023 | youtube | ce | mkt4,Vídeo,2022-12-07,BRL,"50,59","0,00","0,00"
red balloon | 2023 | youtube | pe | mkt4,Vídeo,2022-12-07,BRL,"49,98","0,00","0,00"
red balloon | 2023 | youtube | rs | mkt4,Vídeo,2022-12-07,BRL,"49,98","0,00","0,00"
red balloon | 2023 | youtube | pr | mkt4,Vídeo,2022-12-07,BRL,"49,89","0,00","0,00"
red balloon | 2023 | youtube | mt | mkt4,Vídeo,2022-12-07,BRL,"50,55","0,00","0,00"
red balloon | 2023 | youtube | ms | mkt4,Vídeo,2022-12-07,BRL,"49,98","0,00","0,00"
red balloon | 2023 | youtube | sp interior | mkt4,Vídeo,2022-12-07,BRL,"98,10","0,00","0,00"
red balloon | 2023 | youtube | am | mkt4,Vídeo,2022-12-07,BRL,"49,87","0,00","0,00"
red balloon | 2023 | youtube | mg | mkt4,Vídeo,2022-12-07,BRL,"49,91","0,00","0,00"
red balloon | 2023 | youtube | ba | mkt4,Vídeo,2022-12-07,BRL,"49,94","0,00","0,00"
red balloon | 2023 | youtube | go | mkt4,Vídeo,2022-12-07,BRL,"49,83","0,00","0,00"
red balloon | 2023 | youtube | df | mkt4,Vídeo,2022-12-07,BRL,"49,98","0,00","0,00"
red balloon | 2023 | discovery remarketing | sp | mkt4,Geração de demanda,2022-12-07,BRL,"2,00","0,00","0,00"
red balloon | 2023 | discovery remarketing | br | mkt4,Geração de demanda,2022-12-07,BRL,"6,61","1,00","1,00"
red balloon | 2023 | pmax | sp capital | mkt4,Performance Max,2022-12-07,BRL,"102,57","0,00","0,00"
red balloon | 2023 | pmax | sp interior | mkt4,Performance Max,2022-12-07,BRL,"4,99","0,00","0,00"
red balloon | 2023 | pmax | rj | mkt4,Performance Max,2022-12-07,BRL,"0,00","0,00","0,00"
red balloon | 2023 | pmax | am | mkt4,Performance Max,2022-12-07,BRL,"0,92","0,00","0,00"
red balloon | 2023 | pmax | ce | mkt4,Performance Max,2022-12-07,BRL,"0,21","0,00","0,00"
red balloon | 2023 | pmax | mg | mkt4,Performance Max,2022-12-07,BRL,"3,61","0,00","0,00"
red balloon | 2023 | pmax | ba | mkt4,Performance Max,2022-12-07,BRL,"49,94","0,00","0,00"
red balloon | 2023 | pmax | pe | mkt4,Performance Max,2022-12-07,BRL,"0,55","0,00","0,00"
red balloon | 2023 | pmax | rs | mkt4,Performance Max,2022-12-07,BRL,"0,00","0,00","0,00"
red balloon | 2023 | pmax | pr | mkt4,Performance Max,2022-12-07,BRL,"2,19","0,00","0,00"
red balloon | 2023 | pmax | go | mkt4,Performance Max,2022-12-07,BRL,"0,23","0,00","0,00"
red balloon | 2023 | pmax | df | mkt4,Performance Max,2022-12-07,BRL,"0,44","0,00","0,00"
red balloon | 2023 | pmax | mt | mkt4,Performance Max,2022-12-07,BRL,"8,66","0,00","0,00"
red balloon | 2023 | pmax | ms | mkt4,Performance Max,2022-12-07,BRL,"0,00","0,00","0,00"
red balloon | 2023 | pesquisa | sp capital | mkt4,Pesquisa,2022-12-08,BRL,"62,17","5,00","5,00"
red balloon | 2023 | pesquisa | mt | mkt4,Pesquisa,2022-12-08,BRL,"36,46","0,00","0,00"
red balloon | 2023 | pesquisa | df | mkt4,Pesquisa,2022-12-08,BRL,"53,36","0,00","0,00"
red balloon | 2023 | pesquisa | sp interior | mkt4,Pesquisa,2022-12-08,BRL,"45,54","1,00","1,00"
red balloon | 2023 | pesquisa | am | mkt4,Pesquisa,2022-12-08,BRL,"33,22","0,00","0,00"
red balloon | 2023 | pesquisa | rj | mkt4,Pesquisa,2022-12-08,BRL,"33,05","0,00","0,00"
red balloon | 2023 | pesquisa | pe | mkt4,Pesquisa,2022-12-08,BRL,"37,72","0,00","0,00"
red balloon | 2023 | pesquisa | mg | mkt4,Pesquisa,2022-12-08,BRL,"37,28","0,00","0,00"
red balloon | 2023 | pesquisa | ba | mkt4,Pesquisa,2022-12-08,BRL,"36,05","0,00","0,00"
red balloon | 2023 | pesquisa | ce | mkt4,Pesquisa,2022-12-08,BRL,"28,68","0,00","0,00"
red balloon | 2023 | pesquisa | rs | mkt4,Pesquisa,2022-12-08,BRL,"34,28","0,00","0,00"
red balloon | 2023 | pesquisa | pr | mkt4,Pesquisa,2022-12-08,BRL,"31,22","0,00","0,00"
red balloon | 2023 | pesquisa | go | mkt4,Pesquisa,2022-12-08,BRL,"33,65","1,00","1,00"
red balloon | 2023 | pesquisa | ms | mkt4,Pesquisa,2022-12-08,BRL,"32,58","0,00","0,00"
red balloon | 2023 | youtube | sp capital | mkt4,Vídeo,2022-12-08,BRL,"68,40","0,00","0,00"
red balloon | 2023 | youtube | rj | mkt4,Vídeo,2022-12-08,BRL,"37,97","0,00","0,00"
red balloon | 2023 | youtube | ce | mkt4,Vídeo,2022-12-08,BRL,"34,66","0,00","0,00"
red balloon | 2023 | youtube | pe | mkt4,Vídeo,2022-12-08,BRL,"34,54","0,00","0,00"
red balloon | 2023 | youtube | rs | mkt4,Vídeo,2022-12-08,BRL,"34,19","0,00","0,00"
red balloon | 2023 | youtube | pr | mkt4,Vídeo,2022-12-08,BRL,"33,86","0,00","0,00"
red balloon | 2023 | youtube | mt | mkt4,Vídeo,2022-12-08,BRL,"33,97","0,00","0,00"
red balloon | 2023 | youtube | ms | mkt4,Vídeo,2022-12-08,BRL,"34,20","0,00","0,00"
red balloon | 2023 | youtube | sp interior | mkt4,Vídeo,2022-12-08,BRL,"69,57","0,00","0,00"
red balloon | 2023 | youtube | am | mkt4,Vídeo,2022-12-08,BRL,"33,72","0,00","0,00"
red balloon | 2023 | youtube | mg | mkt4,Vídeo,2022-12-08,BRL,"43,33","0,00","0,00"
red balloon | 2023 | youtube | ba | mkt4,Vídeo,2022-12-08,BRL,"33,90","0,00","0,00"
red balloon | 2023 | youtube | go | mkt4,Vídeo,2022-12-08,BRL,"33,88","0,00","0,00"
red balloon | 2023 | youtube | df | mkt4,Vídeo,2022-12-08,BRL,"33,74","0,00","0,00"
red balloon | 2023 | discovery remarketing | sp | mkt4,Geração de demanda,2022-12-08,BRL,"31,71","1,00","1,00"
red balloon | 2023 | discovery remarketing | br | mkt4,Geração de demanda,2022-12-08,BRL,"3,64","1,00","1,00"
red balloon | 2023 | youtube remarketing | sp | mkt4,Vídeo,2022-12-08,BRL,"0,03","0,00","0,00"
red balloon | 2023 | youtube remarketing | br | mkt4,Vídeo,2022-12-08,BRL,"0,04","0,00","0,00"
red balloon | 2023 | display remarketing | br | mkt4,Display,2022-12-08,BRL,"51,57","0,00","0,00"
red balloon | 2023 | display remarketing | sp | mkt4,Display,2022-12-08,BRL,"97,90","0,00","0,00"
red balloon | 2023 | pmax | sp capital | mkt4,Performance Max,2022-12-08,BRL,"15,76","0,00","0,00"
red balloon | 2023 | pmax | sp interior | mkt4,Performance Max,2022-12-08,BRL,"75,15","5,00","5,00"
red balloon | 2023 | pmax | rj | mkt4,Performance Max,2022-12-08,BRL,"46,50","1,00","1,00"
red balloon | 2023 | pmax | am | mkt4,Performance Max,2022-12-08,BRL,"49,50","0,00","0,00"
red balloon | 2023 | pmax | ce | mkt4,Performance Max,2022-12-08,BRL,"40,62","0,00","0,00"
red balloon | 2023 | pmax | mg | mkt4,Performance Max,2022-12-08,BRL,"33,18","0,00","0,00"
red balloon | 2023 | pmax | ba | mkt4,Performance Max,2022-12-08,BRL,"15,80","0,00","0,00"
red balloon | 2023 | pmax | pe | mkt4,Performance Max,2022-12-08,BRL,"11,05","0,00","0,00"
red balloon | 2023 | pmax | rs | mkt4,Performance Max,2022-12-08,BRL,"35,39","0,00","0,00"
red balloon | 2023 | pmax | pr | mkt4,Performance Max,2022-12-08,BRL,"50,06","0,00","0,00"
red balloon | 2023 | pmax | go | mkt4,Performance Max,2022-12-08,BRL,"44,42","1,00","1,00"
red balloon | 2023 | pmax | df | mkt4,Performance Max,2022-12-08,BRL,"11,59","0,00","0,00"
red balloon | 2023 | pmax | mt | mkt4,Performance Max,2022-12-08,BRL,"29,51","1,00","1,00"
red balloon | 2023 | pmax | ms | mkt4,Performance Max,2022-12-08,BRL,"49,25","2,00","2,00"
red balloon | 2023 | pesquisa | sp capital | mkt4,Pesquisa,2022-12-09,BRL,"53,80","1,00","1,00"
red balloon | 2023 | pesquisa | mt | mkt4,Pesquisa,2022-12-09,BRL,"29,29","0,00","0,00"
